Ti,Fe,Ni,CSI,Ti2Ni
51.1,3.9,45,97763.35507,6.1877238
51.1,3.8,45.1,106498.2831,6.1890509
51.1,1,47.9,143691.554,6.1905239
51.1,3.7,45.2,100944.9763,6.1905931
51.1,1.1,47.8,152013.0575,6.1923573
51.1,3.6,45.3,87929.08279,6.1924884
51.1,3.5,45.4,89297.61057,6.1938328
51.1,1.2,47.7,160247.6473,6.1940511
51.1,3.4,45.5,83437.61127,6.1954809
51.1,3.3,45.6,88548.59727,6.197533
51.1,3.2,45.7,78964.46618,6.198939
51.1,3.1,45.8,72937.80311,6.2008407
51.1,3,45.9,74107.34132,6.2026073
51.1,2.9,46,78752.6835,6.2044959
51.1,2.8,46.1,76097.00115,6.2063846
51.1,2.7,46.2,80728.32458,6.2082808
51.1,2.6,46.3,74081.15247,6.210186
51.1,2.5,46.4,82130.13425,6.2119876
51.1,2.4,46.5,71884.0899,6.2138106
51.1,2.3,46.6,79588.41417,6.215664
51.1,2.2,46.7,76297.64295,6.2174283
51.1,2.1,46.8,83762.11306,6.2195215
51.1,2,46.9,90860.72956,6.2204311
51.1,1.9,47,94269.46621,6.221743
51.1,1.8,47.1,93699.68311,6.2234798
51.1,1.7,47.2,105466.2238,6.2247395
51.1,1.6,47.3,123104.5312,6.225484
51.1,1.5,47.4,121323.5092,6.2270584
51.1,1.4,47.5,130175.0849,6.2275968
51.1,1.3,47.6,144118.6576,6.228412
51.2,0,48.8,67943.91894,6.6296074
51.2,0.1,48.7,72796.25002,6.6393493
51.2,0.2,48.6,78199.74872,6.6480224
51.2,0.3,48.5,83723.36856,6.6557674
51.2,0.4,48.4,87662.87517,6.6627231
51.2,0.5,48.3,95871.77116,6.6686488
51.2,0.6,48.2,102390.429,6.6740943
51.2,0.7,48.1,109181.5159,6.6786239
51.2,3.8,45,108279.3436,6.6797356
51.2,3.7,45.1,102865.8612,6.6817858
51.2,0.8,48,116300.2783,6.6826015
51.2,3.6,45.2,111817.8558,6.6839216
51.2,0.9,47.9,123548.5269,6.6859962
51.2,3.5,45.3,102537.3738,6.6861437
51.2,3.4,45.4,93270.71567,6.6882653
51.2,1,47.8,131277.4993,6.6892796
51.2,3.3,45.5,101960.7889,6.6905438
51.2,1.1,47.7,138230.1152,6.6909068
51.2,1.2,47.6,146643.0054,6.6925753
51.2,3.2,45.6,99869.26844,6.6929207
51.2,1.3,47.5,154661.4505,6.6934303
51.2,1.4,47.4,161173.404,6.6939524
51.2,3.1,45.7,90045.02111,6.6952733
51.2,3,45.8,84178.80431,6.6975861
51.2,2.9,45.9,88665.1919,6.7000259
